teks,jenis
"Aku berseru di udara yang beku 
 Terbujur kaku menginjak abu 
 Terdampar keinginan tak bersuara 
 Hingga hujan turun menjelang 
 Dan tinggalah aku yang membisu 
 Terkikis usang darah lautan 
 Terlahir membawa rasa kecewa 
 Hingga pagi aku menanti 
 Dalam sunyi malam bernyanyi 
 Menangis sendiri bersendu pilu 
 Kini jiwaku penuh luka 
 Tak berujung lemah menyerah 
 Hidup bagai kemudi kelasi 
 Berbatas sangkar di sisi pagi 
 Bercermin hampa tiada mata 
 Gerimis malam mengundang kelam 
 Kepakkan elang terbang melayang 
 Hinggap di antara tiang temali 
 Menghembus diri mempercepat lari 
 Selamat diri di malam sunyi 
  
 ",puisi
"Aku hanya seekor manusia tak berguna 
 Yang tak punya semangat 
 Aku bingung harus bagaimana menjalani hidup ini 
 Hidup yang tak berarti lagiBagiku 
 Bagi jiwa dan raga ku 
 Kini yang bisa kulakukan hanyalah bersedihdan merenungi nasibku ini 
 Sampai terasa gelap dunia ini 
 Atau sampai tutup usia ku nanti 
  
 ",puisi
Jalan-jalan ke pinggir empang \n Nemu katak di pinggir empang \n Hati siapa tak bimbang \n Kamu botak minta dikepang \n ,pantun
Terang bulan indah bercahaya \n Cahaya memancar ke Tanjung Jati \n Jika engkau hendak bahagia \n Beramal Ibadat sebelum mati \n ,pantun
Ayah pergi membeli tembaga \n Dipakai untuk merekatkan parang \n Apabila ingin masuk surga \n Sering mengaji dan sembahyang \n ,pantun
Boleh dibawa bila berjalan \n Kitab Shafie berjudul Risalah \n Serta kasih yang berkekalan \n Kuat hubungan dengan Allah \n ,pantun
Jika petang suasana sepi \n Hanya angin yang menderu \n Ada juga karapan sapi \n Sapi balapan tambah seru \n ,pantun
Sapi putih tarik pedati \n Pedatinya bergoyang-goyang \n Ayah selalu baik hati \n Aku ditimang slalu disayang \n ,pantun
Citah perang melawan citah \n Seekor pelatuk mati di tengah \n Jika kau tak mahu sekolah \n Ayah bunda pasti gelisah \n ,pantun
Makan buah jeruk rasanya asam \n Sama rasa dengan buah mangga \n Ayo kawan mari lestarikan alam \n Agar bumi selalu terjaga \n ,pantun
Empek-empek bumbu cuka \n Lezat sekali dirasa lidah \n Ke kota aku sangat suka \n Ke desa pun banyak yang indah \n ,pantun
Pensil baru penghapus baru \n Untuk sambut hari sekolah baru \n Bapak guru dan Ibu guru \n Terima kasih atas semua ilmumu \n ,pantun
"Aku, 
 Seekor Musang Yang Malang 
 Terjatuh Di Lubang Dalam 
 Terkapar Tak Berdaya 
 Aku, Sehelai Daun Kering 
 Tersapu Angin Kencang 
 Terombang Ambing Tak Bertepi 
 Aku, Sebatang Pohon Rapuh 
 Menunggu Datangnya Hujan 
 Memberikanku Kekuatan 
  
 ",puisi
"Rintik hujan badai 
 Tak berarti 
 Petir sambar sepi 
 Tak peduli 
 Bau tanah bumi 
 Tak tercium 
 Gelap dingin sunyi 
 Tak tersenyum 
 Tulisan indah penuh noda 
 Biarkan gelap yang bertahta 
 Lagu serak tak berirama 
 Hanya nada ini yang ada 
 Sensasi malam menggoda jiwa 
 Penuh cerita rahasia luka 
 Aku hidup tapi tak bernyawa 
  
 ",puisi
"Engkau telah banyak berkorban untuk ku 
 Engkau berjuang antara hidup dan mati untuk ku 
 Engkau tidak pernah meminta ku balasan yang lebih atas semua perlakuan mu kepada ku 
 Engkau menyayangi ku dengan tulus dan sepenuh hati 
 Tidak terasa 
 semua berlalu begitu saja 
 Semua kenangan terlewatkan begitu cepat dan tidak dapat terulang kembali 
 Aku akui 
 aku menyesal. Menyesal dengan semua perbuatan ku kepada mu 
 Aku telah mengecewakan mu dengan setiap perkataan yang ku lontar kan kepada mu 
 Perkataan yang sangat menusuk hati mu begitu dalam 
 Masa tua mu telah habis begitu saja tanpa hadirnya diri ku di samping mu 
 Saat ajal telah mendekat, kau terus mencari-cari dimana keberadaan ku 
 Kau ingin aku ada disamping mu hingga mata mu terpejam untuk selama-lama nya 
 Namun 
 diri ku tidak kunjung datang menemui mu yang telah terbaring lemah tak berdaya 
 Aku tetap tidak perduli dengan kondisi mu yang seperti ini 
 Sampai akhirnya 
 terdengar kabar bahwa diri mu telah tiada 
 Fikiran ku melayang-layang membayang kan wajahmu 
 Aku minta maaf 
 aku minta maaf atas semua kesalahanku kepada mu 
 Aku minta maaf 
 atas perkataan perih yang menusuk tajam hati mu 
 Aku minta maaf 
 telah mengecawakan bahkan mengabaikan mu seperti ini 
 Aku minta maaf 
 karena semua harapan mu telah pupus karena ku 
 Namun 
 apa daya diri ku.. 
 Meminta maaf kepada mu yang telah tidak bernyawa lagi 
 Tangan mu 
 sudah tidak bisa menghapus air mata ku 
 Maaf kan aku Ibu 
 maaf kan aku.. 
  
 ",puisi
Parang ditetak ke batang sena \n Belah buluh taruhlah temu \n Barang dikerja takkan sempurna \n Bila tak penuh menaruh ilmu \n ,pantun
"Dulu kau begitu membenciku 
 Kau bakar aku dengan apimu 
 Kau ciptakan gemuruh yang begitu besar 
 Hingga aku menggelegar 
 Dulu aku seperti kayu 
 Kau pukul aku dengan palumu 
 Percayakah engkau aku seperti baja 
 Bertahan d atas serpihan kaca 
 Kini aku tidak percaya 
 Gemuruh berubah menjadi pelangi 
 Indah memberikan banyak warna 
 Hingga kini kau menjadi dambaan ha 
  
 ",puisi
"Detak jantung ibu pertiwi kian melemah 
 Dalam tipuan riuh tepuk tangan Ia menangis karena malu 
 Berapa banyak lagi pemimpin akan menipu rakyat? 
 Berapa banyak lagi pemimpinkan jadi pecundang bangsa? 
 Dalam peluh yang tercucur tumpah butiran-butiran darah merahmewakili tangis rakyat karena pemimpin bangsa yang munafik 
 Andai Ibu Pertiwi ada disini. Ia pasti akan berseru!""Lebih 
 baik aku mati berkalang tanah, dari pada hidup bercermin bangkai. Lebih 
 baik aku terkubur dalam kemuliaan, dari pada hidup dalam tangis tanah 
 air beta""Mereka bukan wakil rakyat jika tertawa karena air mata bangsa 
 Mereka bukan wakil rakyat jika bersorak karena ketidakadilan 
 Mereka hanya tumpukan sampah yang diselimuti jas mahal dan mobil mewah 
  
 ",puisi
Dulang bukan sembarang dulang \n Dulang besar melebihi rantang \n Bolang bukan sembarang bolang \n Bolang berani menyerah pantang \n ,pantun
"Ada budak membuang dedak \n Penuh setimba di celah batu \n Berdua tidak, bertiga pun tidak \n Kekasih hamba hanyalah satu \n ",pantun
"Bintang itu terus bersinar untukku 
 Ingin ku sinari, tapi kata orang sinarnya tak begitu terang 
 Iya memang menawan 
 Taoi sinarnya tak sungguhan 
 Ya Tuhan aku bingung.. 
 Mana bintang yang sinarnya tak menipu 
 Mana bintang yang menyinari dari hati 
 Karna aku takut menyinari bintang yang salah 
 Karna sinarnya perlahan memadamkan 
 Atau bahkan mematikan 
 Ya tuhan.. 
 Beri bintang yang terbaik untukku 
 Yang menyinari di saat gelapku.. 
  
 ",puisi
Lebat daun bunga tanjung \n Berbau harum bunga cempaka \n Adat dijaga pusaka dijunjung \n Baru terpelihara adat pesaka \n ,pantun
jangan suka makan mentimun \n karna banyak getahnya \n hai kawan jangan melamun \n melamun itu tak ada gunanya \n ,pantun
Pisau lipat dimainnya kera \n Tangannya luka lalu terjun \n Makan kuat tidak terkira \n Kenyangnya tidak tahi bertimbun? \n (api) \n ,pantun
"Berpasangan engkau telah diciptakan 
 Dan selamanya engkau akan berpasangan 
 Bergandingan tanganlah dikau 
 Hingga sayap-sayap panjang nan lebar lebur dalam nyala 
 Dalam ikatan agung menyatu kalian 
  
 Saling menataplah dalam keharmonian 
 Dan bukanlah hanya saling menatap ke depan 
 Tapi bagaimana melangkah ke tujuan semula 
  
 Berpasangan engkau dalam mengurai kebersamaan 
 Kerana tidak ada yang benar-benar mampu hidup bersendirian 
 Bahkan keindahan syurga tak mampu menghapus kesepian Adam 
  
 Berpasangan engkau dalam menghimpun rahmat Tuhan Ya, bahkan bersama pula dalam menikmatinya 
 Kerana alam dan kurniaan Tuhan 
 Terlampau luas untuk dinikmati sendirian 
  
 Bersamalah engkau dalam setiap keadaan 
 Kerana kebahagiaan tersedia, bagi mereka yang menangis 
 Bagi mereka yang disakiti hatinya, bagi mereka yang mencari, 
 bagi mereka yang mencuba 
 Dan bagi mereka yang mampu memahami erti hidup bersama 
 Kerana mereka itulah yang menghargai pentingnya 
 orang-orang yang pernah hadir dalam kehidupan mereka 
  
 Bersamalah dikau sampai sayap-sayap sang maut meliputimu 
 Ya, bahkan bersama pula kalian dalam musim sunyi 
 Namun biarkan ada ruang antara kebersamaan itu 
 Tempat angin syurga menari-nari diantara bahtera sakinahmu 
  
 Berkasih-kasihlah, namun jangan membelenggu cinta 
 Biarkan cinta mengalir dalam setiap titisan darah 
 Bagai mata air kehidupan 
 Yang gemerciknya senantiasa menghidupi pantai kedua jiwa 
 Saling isilah minumanmu tapi jangan minum dari satu piala 
 Saling kongsilah rotimu tapi jangan makan dari pinggan yang sama.. 
  
 Menyanyilah dan menarilah bersama dalam suka dan duka 
 Hanya biarkan masing-masing menghayati waktu sendirinya 
 Kerana dawai-dawai biola, masing-masing punya kehidupan sendiri 
 Walau lagu yang sama sedang menggetarkannya 
 Sebab itulah simfoni kehidupan 
  
 Berikan hatimu namun jangan saling menguasainya 
  
 Jika tidak, kalian hanya mencintai pantulan diri sendiri 
 Yang kalian temukan dalam dia 
 Dan lagi, hanya tangan kehidupan yang akan mampu merangkulnya 
  
 Tegaklah berjajar namun jangan terlampau dekat 
 Bukankah tiang-tiang candi tidak dibina terlalu rapat? 
 Dan pohon jati serta pohon cemara 
 Tidak tumbuh dalam bayangan masing-masing? 
  
 ",puisi
"Matahari hampir tenggelam 
 Sinarnya berwarna kuning kemerah-merahan 
 Timbul dibalik pohon jambu yang rindang 
 Suasana desa yang tentram dan damai 
 Apalagi pemandangan desa yang indah dipandang mata 
 Ada seorang ibu menggendong anaknya 
 Motor warga melaju mengiringinya 
 Ada ayam babon mencari makan disela-sela tanaman terong 
 Rumah gubuk terbuat dari bambu 
 Dihuni oleh perempuan tua beruban 
 Sungguh itu suasana desa yang memukau 
 Ketentramannya membuat hati menjadi rindu 
 Kerukunan para tetangga membuat hati teringat selalu 
 Kehangatan dan keharmonisan keluarga membuat kangen dalam kalbu 
 Oh... desaku yang elok 
 Kau akan selalu terkenang dimanapun aku berada 
 Ngeper, 10 Juni 2014Karya : Imam Aris Sugianto 
  
 ",puisi
"Tidak!! 
 Aku tidak bersedih 
 Aku tidak menangis 
 Hanya air mata ini yang mengalir 
  
 Sakit!! 
 Memang sakit 
 Namun, itu sudah terjadi 
 Ketika ku kelilipan 
 Oleh serangga kecil 
 Tak tahu diri 
 Membuat mataku perih 
 Akhirnya, air mataku keluar bersama serangga kecil itu 
  
 ",puisi
"Aku mencintaimu lebih dari apapun 
 Tak pernah ku temukan ketulusan 
 Selain ketulusanmu ibu 
 Ingin rasanya kurebahkan kepalaku 
 Dipangkuamu dan bercerita 
 Aku lelah melawan waktu 
 Yang tak pernah berpihak padaku 
 Namun melihat mu begitu bahagia 
 Cukup ku pendam saja 
 Aku takut senyumanmu sirna 
 Karena bagiku senyum adalah surga 
 Dan air matamu adalah neraka untukku 
 Kata maaf tidak akan pernah cukup 
 Untuk menebus setiap kesalahanku 
 Ucapan terimakasih tak pernah cukup 
 Untuk membalas setiap pengorbananmu 
 Tapi aku berjanji demi dirimu 
 Aku tak akan pernah mengecewakamu 
  
 ",puisi
Jangan mengipas-ngipas arang \n Kalau dikipas banyak baranya \n Jangan memanas-manaskan orang \n Kalau panas banyak maraknya \n ,pantun
"Saat jauh begitu terasa hampa... 
 Seperti tak menyatu oleh tubuh... 
 Bagai terpisah oleh jarak dan waktu... 
 Rasa senang hilang dengan sekejap... 
  
 Ingin selalu aku didekatnya... 
 Saat hati gelisah merana... 
 Saat hati bergejolak tak terarah... 
 Saat sakit menyiksa jiwa... 
  
 Ingin selalu dekat dengannya... 
 Bersujud simpuh menyembah Nya... 
 Berdoa memohon ampunan Nya... 
 Merintih mengadu pada Nya... 
  
 Ya Alloh ya robbi... 
 Temani ku selalu... 
 Agar damai tentram jiwa ku... 
 Agar bahagia meski sederhana... 
 Melalui jalan yang penuh tanya... 
  
 ",puisi
Kancil lompat lewat kawat \n Hendak lari membeli jajan \n Sapi siapa yang paling kuat \n Itulah sapi Mbah Marijan \n ,pantun
"Seandainya waktu bisa di putar, 
 Aku ingin kembali pada masa yang dahulu pernah ada 
 Masa yang dahulu pernah mengajarkanku tentang arti setia 
  
 Seandainya waktu bisa di putar, 
 Aku ingin melihat dia kembali 
 Melihat senyum manis di bibirnya 
 Dan ingin hidup bersamanya kembali 
  
 Tapi waktu , 
 Sungguh tidak bisa di putar kembali 
 Waktu telah pergi meninggalkan aku dan kenangan semua tentangnya 
 Tapi waktu telah berlalu. . 
 Membawa pergi kasihku bersama luka 
 Menghilangkan senyum manisnya 
 Menghapus semua rasa yang pernah ada 
 Kini. . 
 Tinggallah aku sendiri 
 Bersama dengan sejuta kenangan 
 Yang hanya bisa kuingat dan kukenang 
 Sampai akhir hayatku 
  
 ",puisi
"Kota bintan banyak perunggu \n kota ciamis membangun tugu.... \n Janji kenan di malam minggu.. \n Tapi gerimiz udah menunggu,, \n ",pantun
"Sayang, ungkapan yang sulit namun terlalu mudah di ucapkan. 
 Bagaikan menanam padi diatas pasir. 
 Walau kan kau sirami dengan jutaan liter air takkan pernah bisa bertahan. 
 Alangkah lebih baiknya jika kau tanam di lumpur hitam yang menjijikkan. 
 Sayang itu alangkah baiknya bak matahari menyinari bumi daripada air menyejukkan bumi. 
 Matahari menyinari dengan hawa panas yang menggores kulit, namun semua itu untuk kebaikan si bumi. 
 Lihatlah sapaan air yang datang, penderitaan tersebar dimana-mana karena ulah si air. 
 Sayang 
 itu terkadang diungkapkan dengan rasa marah, bukan hanya dengan bahasa 
 salju yang nantinya akan menenggelamkan dalam ketidaktahuan dirimu 
  
 ",puisi
Kancil melompat katak heran \n Katak lompat pelan-pelan \n Sebentar lagi kita liburan \n Ingin aku jalan-jalan \n ,pantun
"Tak kan mungkin 
 Aku melupakan mu 
 Apa lagi membencimu 
 Walau kau pernah lukai aku 
 Sungguh berat hayi ini 
 Tuk melupakan mu 
 Karna kau sangat berarti 
 Karna kau aku masih bernapasKasih..........Percayalah 
 Satu dihatiku 
 Hanya ada nama muKasih........... 
 Hanya yang kuharapkan 
 Adalah hidup bersatu 
 Bersama mu dan cinta mu 
  
 ",puisi
Tanam ubi tanam tebu \n Tanam pula di tepi paya \n Terima kasih kepada ibu \n Membesarkan kita hingga berjaya \n ,pantun
"Aku, 
 Pernah merasa terluka karena mu 
 Kamu, 
 Pernah menoreh pedih dihatiku 
 Kita, 
 Pernah juga terbakar api amarah yang sama 
 Acapkali aku berucap ingin mengabaikanmu 
 Membencimu, 
 Dan menghapus semua tentangmu 
 Tapi yang kusadari kini 
 Kamu tak pernah beranjak pergi 
 Separah apapun luka yang kamu beri 
 Ada bagian dalam kalbuku yang selalu mengingatmu 
 mengenangmu 
 dan merindu..... 
 Berharap suatu waktu untuk menatapmu lagi dan lagi 
 Kamu.... 
 Yang tlah pergi dan takkan kembali 
 Kan kubiarkan satu sisi kalbuku menghuni tentangmu 
 Hari ini, esok, tanpa batasan waktu 
 Selamanya.... seperti janjimu dulu.... 
  
 ",puisi
Hari minggu sudahlah siang.. \n Setelah siang datanglah petang… \n Ditunggu tunggu tak juga datang… \n Sekalinya datang kok nagih utang… \n ,pantun
"TINDAKKU TERHALANG  KARENA AKU EMPUAN 
 Oleh Iyah Hanifah 
  
 Malam ku masih dengan temaramnya kasih,,, 
 masih pada cecar nada yang sengaja kulantunkan menyingkap bilik-bilik narasi didalamnya. 
 Masih dalam senggama altar bintangku, pada bendung kalut. 
 Ingin ku kuak naif realitas yang mereka lakukan. 
  
 Kasih,,,!!! 
 aku hanya mampu membuat coret-coretan di bilik laut ku. 
 Laut yang kian bergemuruh karena tak terhempas pada tuannya. Entah kamu dimana?!... hingga aku tak mampu menyampah karena kau tak ada!!... 
  
 kasih,,,!!! 
 Kota ku masih dengan tidurnya dari alam kesadaran. 
 Hedonisme masih bersenggama dengan penganutnya, berfikir realistis, Namun tetap bagiku tak logis. 
 Berkata kebenaran namun sebenarnya itulah tindak nyata penghegemonian alam fikiran. 
  
 Kasih,,,, 
 Muakku lelah ku tuangkan pada altar bintang... 
 Caciku terhempas pada cakrawala 
 Resamku ku rejam pada laut lepas 
 “aku tak mampu melakukakan apa-apa” 
 Tindakku terhalang karena aku empuan. 
  
 ",puisi
"Ada tubuh ada tangan, \n Tiada kepala tiada kaki; \n Sangat berguna waktu hujan, \n Apakah dia yang dimaksudkan ini. \n (baju hujan) \n ",pantun
Orang bijak santun bicaranya \n Orang baik santun prilakunya \n Orang pinter cepat berfikirnya \n Orang stress nyetatus melulu kerjanya 😛 \n ,pantun
"Malam merepih sayu terdunduk di bantalan rasadi hamparan lalu teringati masa luka dalam bara laradi perapian asa likaliku perjalanan hati berasmaradana 
 Ku telah pintal benang bermuram kusut jadi bagianmu tapi apalah daya menggenggammu aku tak mampumenggapaimu hanya sebentuk khayalankumenjamahmu tanpa restu dari kedua orang tuamu 
 Maaf dinda. 
 ku undur diri atas segala rasa yang tak bisa ku gapai dalam nyatakuku tau cintamu tulus padakutapi tanpa restu tak mungkin ada bahagiadirimu pun tau derajatku adalah rakyat jelata 
 Ku hanya punya uang seribu sedangkan dirimu punya ratusan juta ribuku ini babu sedangkan dirimu adalah ratu Hizk..hizk..hizk. 
 cintaku tak ada restu dan terhalang karena rupiahku 
 Galau galau galau galau galau galau galau galau galau galauuuuuuuuuuu.. 
  
 ______________________By_$ąñǥ קµjąñǥǥą ţąñקą ñąмą [ aan ]07-04-2014 °¤*(¯´★`¯)*¤°•. 
  
 ",puisi
Burung nuri burung dara \n Terbang ke sisi taman kayangan \n Cubalah teka wahai saudara \n Semakin diisi makin ringan? \n (belon) \n ,pantun
Pagi ini membaca koran \n Baca berita orang hilang \n Bermain kejar-kejaran \n Badan sehat hati pun senang \n ,pantun
Jadi orang jangan pelupa \n Kalau pelupa seperti nini-nini \n Tak enak hati untuk menyapa \n Karena orang baru di daerah sini \n ,pantun
"Pergi bertemu si pandai besi, \n Dia mengasah pedang biasa, \n Dicari-cari sulit sekali, \n Andai ketemu dibuang ia? \n (Jawabannya: Upil) \n ",pantun
"Aku menyesal telah meninggalkan 
 Mu sengaja kupergi jauh 
 Darimu sekarang aku rindu 
 Masa masa kita yang 
 Dulu tuhan dengarkan permintaan 
 Hati ini yang selalu 
 Mengharapkan bertemu lagi untuknyasering kucoba melupakan mu 
 Namun tak bisa selamanya 
 Kasih tungulah aku hingga 
 Nanti hingga nanti aku 
 Kembali untukmu lagi 
  
 ",puisi
Kalau ada sumur diladang \n Boleh saya menumpang mandi \n Kalau ada umur yang panjang \n Boleh kita berjumpa lagi \n ,pantun
"Ma'afkan aku.. 
 Mungkin aku tak dapat memahaminya 
 Memahami tentang apa yang aku maksud 
 Di mata mu.. 
 Mungkin aku selalu salah 
 Mungkin aku tak lagi bermakna apa-apa 
 Hadir ku disini 
 Mungkin tak mempunyai arti apa-apa 
 Bagai rembulan yang tak selalu bersinar 
 Dan disa'at uraian kata mengungkap sejuta rasa 
 Yang kini kan terucap 
 Satu tujuan ku yang ingin aku sampaikan 
 ""Betapa aku tulus mencintaimu"" 
  
 ",puisi
"Berilah aku pena dan tintatuk ku tuliskan pungutan katamenjadi untaian kalimat rasa penuh maknayang tertuang pada kertas biasa 
 Berilah aku pena dan tintatuk ku goreskan luapan katamenjadi untaian kalimat rasa riuh gelorayang tertuang pada kertas biasa 
 Berilah aku pena dan tintatuk ku torehkan ungkapan katamenjadi untaian kalimat rasa penuh cintayang tertuang pada kertas biasa 
 Berilah aku pena dan tintatuk ku catatkan ragam katamenjadi untaian kalimat rasa banyak ceritayang tertuang pada kertas biasa 
 Berilah, berikanlah aku pena dan tintauntuk mengisi lembaran kertas biasa 
  
 ----------- 
 No. Urut : 7798 
 Tanggal Kirim : 21/01/2013 16:48:29 
  
 ",puisi
"Disore itu 
 Ada pelangi dimatamu 
 Ada embun dipipimu 
 Ada sebercak sinar dipipiku 
 Ada sebongkah awan dialismu 
 Saat kou sandarkan tubuh rentamu didadaku 
 Mentari nampak iri mengintip dibalik awan 
 Lembayung nampak murung 
 Dan langit nampak murka dengan apa yg dia lihat 
 Sungguh aku bahagia saat ini 
 Saat bidadari bersandar di dadaku 
 Dan dunia sangat iri 
  
 ",puisi
"selalu hadir dalam kehidupan kita 
 baik itu senang atau susah 
 tak perlu berkata ia pasti mendengar 
 semua cerita akan tercampur dengan bumbu kisahnya 
 menegur kala kita salah mengambil langkah 
 menyokong kala kita mengangkat satu keputusan 
 bertanggung jawab walau tak ikut menyebabkan 
 meniupkan hawa kedamaian kala kita terbalut dalam emosi 
  
 dan… 
 selalu seperti itu hingga takdir memisahkan 
  
 ",puisi
"Entah mengapa hatiku ini slalu 
 Ingin mengatakan bahwa Aku mencintaimu 
 Ingin kuberteriak agar semua orang tahu Bahwa cintaku in hanya untukmu kasih 
 Kau benar_benar membuat 
 Hari_hari ku begitu indah 
 Terasa semua beban dan masalah 
 Teratasi karena cinta Cinta yang kau berikan untuk ku 
 Untuk hati yang begitu Mendambakan hadirnya sebuah Cinta 
 Denganmu ku mengerti arti cinta 
 Denganmu membuatku Lebih dewasa 
 Denganmu ku rasakan rindu 
 Denganmu hidupku lebih berwarna 
 Terimakasih tuhan Tlah hadirkan dia untuk ku 
 Menemani diriku 
 Dalam sepi 
 Kumohon jagakan dia untuku 
 Karena aku begitu menyayanginya 
 Dan mencintainya 
 Cintaku ini tulus untukmu 
  
 --------------------------- 
 No. Urut : 4848 
 Tanggal Kirim : 27/09/2012 16:08:13 
  
 ",puisi
"Kutulis sajak ini saat hujan gerimis 
 Ketika langit mengirim rintik ke tubuh bumi 
 Menggeletar samar, bagai tetabuhan ghaib 
 Juga gesekan air mata yang menggantung di dahan kamboja 
 Duh, kak aku merindu. 
 Ku tulis sajak ini saat Tuhan menyeru pada hujan 
 Tuk lebih lama menghujam riuh kehidupan 
 Saat ku dengar angin mendesah 
 Menyeru di tebing batu, dan berhenti di satu noktah 
 Duh, kak aku merindu. 
 Di liang sunyi ini, aku masih tak jemu menyanyi 
 Mendendangkan syair tentang kematian juga bulan gelandangan 
 Sambil terus berharap gerimis dapat mengiringi upacara penguburan, 
 Penguburan rasa yang tertahan 
 Makin dalam, tanpa sebuah balasan 
 Dengan seonggok nisan kaku, bertuliskan rindu 
 Duh, kak aku benar-benar merindu. 
  
 ",puisi
